11-19 02:07:37.574 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 26, Focusval 766578496.000000, LensPosition 347, H1 1523416960.000000, H2 0.000000, V 9740030.000000, HV 766578496.000000, H1_norm 1819691.750000, H2_norm 0.000000, V_norm 7805.498535, HV_norm 913748.625000
11-19 02:07:37.742 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 27, Focusval 769809280.000000, LensPosition 345, H1 1530057984.000000, H2 0.000000, V 9560550.000000, HV 769809280.000000, H1_norm 1825499.625000, H2_norm 0.000000, V_norm 7693.934082, HV_norm 916596.750000
11-19 02:07:37.908 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 28, Focusval 766071424.000000, LensPosition 343, H1 1522380032.000000, H2 0.000000, V 9762830.000000, HV 766071424.000000, H1_norm 1812857.625000, H2_norm 0.000000, V_norm 7851.220703, HV_norm 910354.437500
11-19 02:07:38.076 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 29, Focusval 762377408.000000, LensPosition 341, H1 1515059968.000000, H2 0.000000, V 9694860.000000, HV 762377408.000000, H1_norm 1806167.125000, H2_norm 0.000000, V_norm 7780.805664, HV_norm 906973.937500
11-19 02:07:38.243 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 30, Focusval 764092480.000000, LensPosition 339, H1 1518544384.000000, H2 0.000000, V 9640590.000000, HV 764092480.000000, H1_norm 1815589.875000, H2_norm 0.000000, V_norm 7727.249023, HV_norm 911658.562500
11-19 02:07:38.417 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 31, Focusval 765262144.000000, LensPosition 337, H1 1521030912.000000, H2 0.000000, V 9493420.000000, HV 765262144.000000, H1_norm 1820623.875000, H2_norm 0.000000, V_norm 7640.622070, HV_norm 914132.250000
11-19 02:07:38.573 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 32, Focusval 765418304.000000, LensPosition 335, H1 1521318272.000000, H2 0.000000, V 9518290.000000, HV 765418304.000000, H1_norm 1820669.625000, H2_norm 0.000000, V_norm 7661.972656, HV_norm 914165.812500
11-19 02:07:38.740 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 33, Focusval 768148992.000000, LensPosition 333, H1 1526657536.000000, H2 0.000000, V 9640480.000000, HV 768148992.000000, H1_norm 1827613.250000, H2_norm 0.000000, V_norm 7806.675781, HV_norm 917709.937500
11-19 02:07:38.907 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 34, Focusval 767073856.000000, LensPosition 331, H1 1524634752.000000, H2 0.000000, V 9512900.000000, HV 767073856.000000, H1_norm 1829351.500000, H2_norm 0.000000, V_norm 7680.485352, HV_norm 918516.000000
11-19 02:07:39.074 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 35, Focusval 766007872.000000, LensPosition 329, H1 1522630272.000000, H2 0.000000, V 9385510.000000, HV 766007872.000000, H1_norm 1833282.625000, H2_norm 0.000000, V_norm 7601.951172, HV_norm 920442.312500
